Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatality Flag,Risk Score
1995-06-03,Non-Fatal,Substantial,PIPER,PA-16,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-03,Non-Fatal,Substantial,MOONEY,M20E,Personal,0.0,2.0,1.0,0.0,0,5.0
1995-06-03,Non-Fatal,Substantial,PIPER,PA-18,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-03,Non-Fatal,Substantial,PIPER,J3C-65,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-04,Non-Fatal,Substantial,BEECH,A35,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-04,Non-Fatal,Substantial,PIPER,PA-24-250,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-04,Non-Fatal,Substantial,PIPER,PA-18-150,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-05,Fatal(1),Destroyed,GRUMMAN,AA-1,Personal,1.0,1.0,0.0,0.0,1,7.0
1995-06-05,Non-Fatal,Destroyed,OTHER,TEENIE II,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-05,Non-Fatal,Substantial,BEECH,E35,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-06,Fatal(1),Destroyed,BELLANCA,8KCAB,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-06,Fatal(1),Destroyed,OTHER,HAWK,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-06,Non-Fatal,Substantial,PIPER,J3C-65,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-06,Non-Fatal,Substantial,PIPER,PA-34-200,Business,0.0,0.0,0.0,1.0,0,0.0
1995-06-06,Non-Fatal,Substantial,CHAMPION,7GCB,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-07,Fatal(6),Destroyed,PIPER,PA-32-260,Personal,6.0,0.0,0.0,0.0,1,30.0
1995-06-08,Fatal(1),Destroyed,OTHER,KR-2,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-08,Non-Fatal,Substantial,OTHER,SMITH DSA-1,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-08,Non-Fatal,Substantial,BOEING,D75N1,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-09,Non-Fatal,Destroyed,OTHER,RC-3,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-09,Non-Fatal,Substantial,PIPER,PA-23-250,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-09,Non-Fatal,Substantial,PIPER,PA-28-160,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-06-09,Non-Fatal,Substantial,DE HAVILLAND,DHC-2,Business,0.0,0.0,0.0,1.0,0,0.0
1995-06-09,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,4.0,0,0.0
1995-06-09,Non-Fatal,Substantial,PIPER,PA-18,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-10,Non-Fatal,Destroyed,CESSNA,152,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-10,Fatal(2),Destroyed,OTHER,GENESIS,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-06-10,Fatal(3),Destroyed,CESSNA,172H,Personal,3.0,0.0,0.0,1.0,1,15.0
1995-06-10,Non-Fatal,Substantial,MAULE,M-7-235,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CESSNA,172N,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CESSNA,177B,Personal,0.0,0.0,2.0,0.0,0,2.0
1995-06-10,Non-Fatal,Substantial,CESSNA,T210M,Personal,0.0,0.0,0.0,5.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CESSNA,172E,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CHAMPION,11BC-S,Personal,0.0,1.0,0.0,1.0,0,2.0
1995-06-10,Non-Fatal,Substantial,GRUMMAN,G-44,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-10,Non-Fatal,Substantial,CHRISTEN INDUSTRIES,A-1,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-11,Incident,Minor,CESSNA,150M,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-11,Incident,Minor,CESSNA,150L,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-11,Non-Fatal,Destroyed,BEECH,F33A,Personal,0.0,0.0,2.0,0.0,0,2.0
1995-06-11,Fatal(1),Destroyed,OTHER,STEEN SKYBOLT,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-11,Non-Fatal,Substantial,CESSNA,175,Personal,0.0,0.0,2.0,0.0,0,2.0
1995-06-11,Non-Fatal,Substantial,BEECH,33,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-11,Non-Fatal,Substantial,BELLANCA,8KCAB,Personal,0.0,1.0,0.0,1.0,0,2.0
1995-06-11,Non-Fatal,Substantial,ROBINSON,R-22,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-11,Non-Fatal,Substantial,OTHER,BT-13B,Personal,0.0,1.0,1.0,0.0,0,3.0
1995-06-12,Fatal(1),Destroyed,SMITH,LONG-EZ,Personal,1.0,1.0,0.0,0.0,1,7.0
1995-06-12,Non-Fatal,Substantial,CESSNA,402B,Business,0.0,0.0,0.0,4.0,0,0.0
1995-06-12,Non-Fatal,Substantial,HUGHES,500D,Other Work Use,0.0,0.0,4.0,0.0,0,4.0
1995-06-13,Non-Fatal,Substantial,BELLANCA,14-19,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-13,Non-Fatal,Substantial,PIPER,PA-28-180,Personal,0.0,0.0,4.0,0.0,0,4.0
1995-06-13,Non-Fatal,Substantial,CESSNA,T210M,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-13,Non-Fatal,Substantial,PIPER,PA-28R-200,Personal,0.0,0.0,0.0,4.0,0,0.0
1995-06-14,Fatal(3),Destroyed,PIPER,PA-31P-350,Business,3.0,0.0,0.0,0.0,1,15.0
1995-06-14,Non-Fatal,Substantial,ENSTROM,280C,Other Work Use,0.0,0.0,0.0,2.0,0,0.0
1995-06-14,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-15,Non-Fatal,Substantial,CESSNA,170B,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-16,Fatal(1),Destroyed,CESSNA,P210N,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-16,Non-Fatal,Substantial,CESSNA,177B,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-17,Fatal(1),Destroyed,OTHER,DOLPHIN,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-17,Non-Fatal,Destroyed,CHRISTEN INDUSTRIES,S-2B,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-06-17,Non-Fatal,Substantial,PIPER,PA-18A,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-17,Non-Fatal,Substantial,BEECH,C24R,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-17,Non-Fatal,Substantial,OTHER,GREAT LAKES 2T-1AK,Personal,0.0,0.0,0.0,6.0,0,0.0
1995-06-17,Non-Fatal,Substantial,OTHER,DSA-1,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-17,Non-Fatal,Substantial,PIPER,PA-32RT-300,Personal,0.0,0.0,0.0,5.0,0,0.0
1995-06-17,Non-Fatal,Substantial,BEECH,B23,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-06-17,Non-Fatal,Substantial,GRUMMAN,AA1C,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-18,Fatal(1),Destroyed,CESSNA,172N,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-18,Non-Fatal,Destroyed,PIPER,PA-28-180,Personal,0.0,2.0,1.0,0.0,0,5.0
1995-06-18,Fatal(1),Destroyed,OTHER,MONI,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-18,Non-Fatal,Substantial,PIPER,J3C-65,Personal,0.0,1.0,1.0,0.0,0,3.0
1995-06-18,Non-Fatal,Substantial,OTHER,PIK-30,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-18,Non-Fatal,Substantial,OTHER,PITTS S-1S,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-18,Non-Fatal,Substantial,CESSNA,172N,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-18,Non-Fatal,Substantial,AERONCA,65-LB,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-19,Non-Fatal,Destroyed,PIPER,PA-38-112,Personal,0.0,0.0,1.0,1.0,0,1.0
1995-06-19,Non-Fatal,Substantial,OTHER,KOLB TWINSTAR,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-19,Non-Fatal,Substantial,BELL,47J2A,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-20,Fatal(2),Destroyed,BEECH,A36,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-06-20,Fatal(5),Destroyed,PIPER,PA-12,Personal,5.0,0.0,0.0,0.0,1,25.0
1995-06-20,Fatal(5),Destroyed,DE HAVILLAND,DHC-2,Business,5.0,0.0,0.0,0.0,1,25.0
1995-06-20,Non-Fatal,Substantial,OTHER,KIS,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-21,Non-Fatal,Substantial,CESSNA,310,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-21,Non-Fatal,Substantial,CESSNA,150M,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-21,Non-Fatal,Substantial,PIPER,PA-38-112,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-21,Fatal(1),Substantial,SMITH,MONNETT MONI,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-21,Non-Fatal,Substantial,PIPER,PA-18-150,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-22,Fatal(1),Destroyed,OTHER,BUCCANEER 11 B2B,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-22,Non-Fatal,Destroyed,CESSNA,172,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-22,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,4.0,0,0.0
1995-06-22,Non-Fatal,Substantial,PIPER,J-5A,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-22,Non-Fatal,Substantial,CESSNA,180,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-23,Incident,Minor,CESSNA,182,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-23,Non-Fatal,Destroyed,OTHER,COZY,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-23,Non-Fatal,Destroyed,OTHER,ACRO-SPORT II,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-23,Fatal(1),Destroyed,CESSNA,182P,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-23,Non-Fatal,Substantial,CESSNA,180H,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-23,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-23,Non-Fatal,Substantial,PIPER,PA-32R,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-24,Fatal(2),Destroyed,LUSCOMBE,8A,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-06-24,Fatal(1),Destroyed,OTHER,LANCAIR 320,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-06-24,Non-Fatal,Substantial,OTHER,CORBIN BABY ACE,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-24,Non-Fatal,Substantial,PIPER,PA-34-200,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-24,Non-Fatal,Substantial,PIPER,PA-28-181,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-24,Non-Fatal,Substantial,LUSCOMBE,8A,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-06-24,Non-Fatal,Substantial,BEECH,V35B,Personal,0.0,0.0,1.0,1.0,0,1.0
1995-06-24,Non-Fatal,Substantial,CESSNA,310L,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-24,Non-Fatal,Substantial,OTHER,BUSHBY MUSTANG I,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-24,Non-Fatal,Substantial,PIPER,J3,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-24,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,2.0,2.0,0,2.0
1995-06-25,Non-Fatal,Destroyed,BEECH,P35,Personal,0.0,1.0,1.0,0.0,0,3.0
1995-06-25,Non-Fatal,Destroyed,OTHER,TWINSTAR,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-25,Fatal(4),Destroyed,PIPER,PA-31,Personal,4.0,0.0,0.0,0.0,1,20.0
1995-06-25,Non-Fatal,Substantial,CESSNA,150M,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-25,Non-Fatal,Substantial,OTHER,ROTORWAY EXECUTIVE,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-25,Non-Fatal,Substantial,CESSNA,180,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-06-25,Non-Fatal,Substantial,CESSNA,182P,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-26,Fatal(1),Destroyed,PIPER,PA-32-260,Personal,1.0,1.0,3.0,0.0,1,10.0
1995-06-26,Non-Fatal,Substantial,CESSNA,152,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-26,Non-Fatal,Substantial,CESSNA,172F,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-26,Non-Fatal,Substantial,PIPER,PA-28-200R,Personal,0.0,0.0,0.0,1.0,0,0.0
